Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
6bed751d-772e-3fb2-9265-be9eb22ea12f,ST HELENA HOSPITAL,10 WOODLAND ROAD,SAINT HELENA,CA,94574,38.036605,-122.253956,7079633611,12309.74000000002,100
674011ec-2127-398d-bcb7-8539a529f5e3,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,38.107911,-122.26388,7076511000,1312.6499999999999,9
fb4b4d16-4805-3c8c-9ce2-bf4bc5cc8fb6,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,91786,34.117446,-117.659918,7149852811,20273.149999999987,149
2486b094-3310-3bfa-98d9-0ba6437782c5,KAISER FOUNDATION HOSPITAL FONTANA,9961 SIERRA AVE,FONTANA,CA,92335,34.108793,-117.462685,9094275500,495.89,5
d29567c4-5224-3325-be62-07b023084033,EL CAMINO HOSPITAL,2500 GRANT ROAD,MOUNTAIN VIEW,CA,94040,37.399364,-122.079517,6509407000,670.91,7
6c95210e-51b0-379a-91a5-69021aa62cd5,SUTTER TRACY COMMUNITY HOSPITAL,1420 NORTH TRACY BLVD,TRACY,CA,95376,37.724597,-121.44553799999998,2098351500,5221.430000000006,53
644df361-9154-32b4-81fd-10903deb9738,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,33.050632,-117.26361599999998,7607536501,10676.220000000016,78
f751bfc2-54a5-39cb-86ff-61a543e1baf3,CHINO VALLEY MEDICAL CENTER,5451 WALNUT AVE,CHINO,CA,91710,33.977432,-117.657465,9096276111,2479.45,23
70da8cdb-472d-3fff-b72f-9afc922c2f71,SAINT LOUISE REGIONAL HOSPITAL,9400 NO NAME UNO,GILROY,CA,95020,37.006407,-121.585321,4088482000,875.1,10
70357141-3cdb-3dff-9c9b-3e91424a3260,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,CA,90301,33.956068,-118.344274,3106734660,21673.30999999996,185
d6f4d688-64ab-3ae6-93c7-b43ffa4cdce3,PCP23545,201 LOMAS SANTA FE DR,SOLANA BEACH,CA,92075-1287,32.991496999999995,-117.25804199999999,760-473-3235,4229.649999999999,29
997dfb4f-b122-3a71-b4a7-07ad160bed18,PANMED ANESTHESIA SERVICES INC.,5451 WALNUT AVE,CHINO,CA,91710-2609,33.977432,-117.65746499999999,909-464-8600,5542.300000000002,38
def00f6b-2696-3de4-bad8-3523711b9675,PCP61574,305 S DR,MOUNTAIN VIEW,CA,94040-4207,37.399364,-122.079517,650-967-8787,3646.2499999999986,25
30971de1-5291-3fc2-b803-a66ae906a753,PCP96561,8710 MONROE CT,RANCHO CUCAMONGA,CA,91730-4884,34.123315000000005,-117.56420700000001,,4375.499999999999,30
e67a365f-cb16-3be9-943b-8dffbd6d6706,PCP129726,1520 DISCOVERY BAY BLVD,DISCOVERY BAY,CA,94505-1096,37.907674,-121.597955,,9042.70000000001,62
48739f3b-fcb0-31b1-8d61-5ee58ba59279,PCP151501,3701 STOCKER ST,VIEW PARK,CA,90008-5145,33.994471999999995,-118.34776200000002,,6854.950000000005,47
85fb6347-73dc-30d6-840e-1aba5bc45957,PCP230216,5036 RODEO RD,ALTA LOMA,CA,91737-2408,34.123315000000005,-117.564207,,3792.0999999999985,26
b6304be7-2d84-302f-97e6-14fd77658a6f,CITY OF HOPE MEDICAL FOUNDATION,7777 MILLIKEN AVE,RANCHO CUCAMONGA,CA,91730-6781,34.123315000000005,-117.56420700000001,909-949-2242,4813.05,33
fd7b33a8-20a8-3ee6-81d2-6530a0e8ca48,PERMANENTE MEDICAL GROUP INC,560 1ST ST,BENICIA,CA,94510-3295,38.0688,-122.15094599999999,800-424-6589,10355.350000000013,71
f49f4b65-70f3-3bcd-8adb-5d9ee6767915,CEP AMERICA - CALIFORNIA,9400 N NAME UNO,GILROY,CA,95020-3528,37.006407,-121.585321,408-848-2000,3792.0999999999985,26
ec361158-ffd4-3d47-8578-fbee6038c113,BRENTWOOD URGENT CARE CENTER,2400 BALFOUR ROAD,BRENTWOOD,CA,94513,37.9243068,-121.734742,925-308-8111,291.7,2
7c184821-7c41-3618-867e-fec985aea2a2,EXCEL CARE IMMEDIATE CARE CENTER INCORPORATED,2012 COLUMBUS PARKWAY,BENICIA,CA,94510,38.0796364,-122.1909142,707-745-2705,145.85,1
7fff39e5-65c6-3956-93c2-87a79b9b3e9d,CLINICA MEDICA SAN MIGUEL - WESTERN AVENUE,2618 SOUTH WESTERN AVENUE,LOS ANGELES,CA,90018,34.0319589,-118.3087203,323-730-9000,291.7,2
